"LURN_SAK","INCIDENT_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
18614755,"2018-06-19 02:50:00","LARCENY THEFT","384","THEFT, PETTY: From Auto (Except Parts/Accessories)","24100 TANGO DR, VALENCIA, CA","24100 TANGO DR","VALENCIA",,"918-08511-0673","0673","08511","CA0190006","SANTA CLARITA VALLEY","N"
18625410,"2018-06-19 03:00:00","LARCENY THEFT","386","THEFT, PETTY: Bicycles","9400 STEELE ST, ROSEMEAD, CA 91770","9400 STEELE ST","ROSEMEAD","91770","918-08091-0531","0531","08091","CA0190005","TEMPLE","N"
18617381,"2018-06-19 03:30:00","LARCENY THEFT","085","GRAND THEFT: Auto Parts And Accessories","26100 BELLIS DR, VALENCIA, CA","26100 BELLIS DR","VALENCIA",,"918-08620-0621","0621","08620","CA0190006","SANTA CLARITA VALLEY","N"
18614586,"2018-06-19 03:32:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","SPROUL ST AND UNION ST, NORWALK, CA 90650","SPROUL ST AND UNION ST","NORWALK","90650","918-09344-0454","0454","09344","CA0190004","NORWALK","N"
18615149,"2018-06-19 03:45:00","LARCENY THEFT","350","LOCKER BURGLARY","5000 CASTANA AVE, LAKEWOOD, CA 90712","5000 CASTANA AVE","LAKEWOOD","90712","918-13632-1320","1320","13632","CA0190013","LAKEWOOD","N"
18614911,"2018-06-19 05:00:00","LARCENY THEFT","089","GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","900 W AVENUE L8, LANCASTER, CA","900 W AVENUE L8","LANCASTER",,"918-12141-1135","1135","12141","CA0190024","LANCASTER","N"
18614946,"2018-06-19 05:15:00","LARCENY THEFT","385","THEFT, PETTY: Auto Parts And Accessories","11500 LONG BEACH BLVD, LYNWOOD, CA 90262","11500 LONG BEACH BLVD","LYNWOOD","90262","918-08959-2111","2111","08959","CA01900V3","CENTURY","N"
18614951,"2018-06-19 06:27:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","TEXACO AVE AND EXETER ST, PARAMOUNT, CA","TEXACO AVE AND EXETER ST","PARAMOUNT",,"918-13613-1364","1364","13613","CA0190013","LAKEWOOD","N"
18614637,"2018-06-19 06:41:17","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","2000 W 134TH ST, COMPTON, CA 90220","2000 W 134TH ST","COMPTON","90220","918-08611-2812","2812","08611","CA0190042","COMPTON","N"
18615460,"2018-06-19 08:00:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","7300 RICHFIELD AVE, PARAMOUNT, CA 90723","7300 RICHFIELD AVE","PARAMOUNT","90723","918-13654-1364","1364","13654","CA0190013","LAKEWOOD","N"
